FD  Type Size      OpenPerm FilePerm            Name                                                                                                                                                                  
mem REG  15128     r-xp     -rwxr-xr-x          /opt/datadog-agent/embedded/lib/python3.13/lib-dynload/grp.cpython-313-aarch64-linux-gnu.so                                                                           
mem REG  20000     r-xp     -rwxr-xr-x          /opt/datadog-agent/embedded/lib/python3.13/lib-dynload/_opcode.cpython-313-aarch64-linux-gnu.so                                                                       
mem REG  36592     r-xp     -rwxr-xr-x          /opt/datadog-agent/embedded/lib/python3.13/lib-dynload/_json.cpython-313-aarch64-linux-gnu.so                                                                         
mem REG  19552     r-xp     -rwxr-xr-x          /opt/datadog-agent/embedded/lib/python3.13/lib-dynload/_queue.cpython-313-aarch64-linux-gnu.so                                                                        
mem REG  22992     r-xp     -rwxr-xr-x          /opt/datadog-agent/embedded/lib/python3.13/lib-dynload/_heapq.cpython-313-aarch64-linux-gnu.so                                                                        
mem REG  40376     r-xp     -rwxr-xr-x          /opt/datadog-agent/embedded/lib/python3.13/lib-dynload/_blake2.cpython-313-aarch64-linux-gnu.so                                                                       
mem REG  59576     r-xp     -rwxr-xr-x          /opt/datadog-agent/embedded/lib/python3.13/lib-dynload/_hashlib.cpython-313-aarch64-linux-gnu.so                                                                      
mem REG  15040     r-xp     -rwxr-xr-x          /opt/datadog-agent/embedded/lib/python3.13/lib-dynload/_random.cpython-313-aarch64-linux-gnu.so                                                                       
mem REG  19216     r-xp     -rwxr-xr-x          /opt/datadog-agent/embedded/lib/python3.13/lib-dynload/_bisect.cpython-313-aarch64-linux-gnu.so                                                                       
mem REG  5804632   r-xp     -rw-r--r--          /opt/datadog-agent/embedded/lib/libcrypto.so.3.5.5                                                                                                                    
mem REG  5804632   ---p     -rw-r--r--          /opt/datadog-agent/embedded/lib/libcrypto.so.3.5.5                                                                                                                    
mem REG  1085144   r-xp     -rw-r--r--          /opt/datadog-agent/embedded/lib/libssl.so.3.5.5                                                                                                                       
mem REG  229376    r-xp     -rwxr-xr-x          /opt/datadog-agent/embedded/lib/python3.13/lib-dynload/_ssl.cpython-313-aarch64-linux-gnu.so                                                                          
mem REG  68256     r-xp     -rwxr-xr-x          /opt/datadog-agent/embedded/lib/python3.13/site-packages/psutil/_psutil_posix.abi3.so                                                                                 
mem REG  68936     r-xp     -rwxr-xr-x          /opt/datadog-agent/embedded/lib/python3.13/site-packages/psutil/_psutil_linux.abi3.so                                                                                 
mem REG  206816    r-xp     -rw-r--r--          /opt/datadog-agent/embedded/lib/liblzma.so.5.4.2                                                                                                                      
mem REG  36648     r-xp     -rwxr-xr-x          /opt/datadog-agent/embedded/lib/python3.13/lib-dynload/_lzma.cpython-313-aarch64-linux-gnu.so                                                                         
mem REG  82840     r-xp     -rw-r--r--          /opt/datadog-agent/embedded/lib/libbz2.so.1.0.8                                                                                                                       
mem REG  23704     r-xp     -rwxr-xr-x          /opt/datadog-agent/embedded/lib/python3.13/lib-dynload/_bz2.cpython-313-aarch64-linux-gnu.so                                                                          
mem REG  45832     r-xp     -rwxr-xr-x          /opt/datadog-agent/embedded/lib/python3.13/lib-dynload/zlib.cpython-313-aarch64-linux-gnu.so                                                                          
mem REG  58208     r-xp     -rwxr-xr-x          /opt/datadog-agent/embedded/lib/python3.13/lib-dynload/array.cpython-313-aarch64-linux-gnu.so                                                                         
mem REG  108216    r-xp     -rwxr-xr-x          /opt/datadog-agent/embedded/lib/python3.13/lib-dynload/_socket.cpython-313-aarch64-linux-gnu.so                                                                       
mem REG  32600     r-xp     -rwxr-xr-x          /opt/datadog-agent/embedded/lib/python3.13/lib-dynload/select.cpython-313-aarch64-linux-gnu.so                                                                        
mem REG  23192     r-xp     -rwxr-xr-x          /opt/datadog-agent/embedded/lib/python3.13/lib-dynload/_posixsubprocess.cpython-313-aarch64-linux-gnu.so                                                              
mem REG  697992    r-xp     -rwxr-xr-x          /opt/datadog-agent/embedded/lib/python3.13/lib-dynload/unicodedata.cpython-313-aarch64-linux-gnu.so                                                                   
mem REG  66264     r-xp     -rwxr-xr-x          /opt/datadog-agent/embedded/lib/python3.13/lib-dynload/math.cpython-313-aarch64-linux-gnu.so                                                                          
mem REG  322672    r-xp     -rwxr-xr-x          /opt/datadog-agent/embedded/lib/python3.13/lib-dynload/_decimal.cpython-313-aarch64-linux-gnu.so                                                                      
mem REG  335928    r-xp     -rwxr-xr-x          /opt/datadog-agent/embedded/lib/python3.13/site-packages/yaml/_yaml.cpython-313-aarch64-linux-gnu.so                                                                  
mem REG  67512     r-xp     -rw-r--r--          /usr/lib/aarch64-linux-gnu/librt.so.1                                                                                                                                 
mem REG  112536    r-xp     -rw-r--r--          /opt/datadog-agent/embedded/lib/libz.so.1.3.1                                                                                                                         
mem REG  23856     r-xp     -rwxr-xr-x          /opt/datadog-agent/embedded/lib/python3.13/lib-dynload/binascii.cpython-313-aarch64-linux-gnu.so                                                                      
mem REG  50768     r-xp     -rwxr-xr-x          /opt/datadog-agent/embedded/lib/python3.13/lib-dynload/_struct.cpython-313-aarch64-linux-gnu.so                                                                       
mem REG  109176    r-xp     -rwxr-xr-x          /opt/datadog-agent/embedded/lib/python3.13/lib-dynload/_datetime.cpython-313-aarch64-linux-gnu.so                                                                     
mem REG  19288     r-xp     -rwxr-xr-x          /opt/datadog-agent/embedded/lib/python3.13/lib-dynload/resource.cpython-313-aarch64-linux-gnu.so                                                                      
mem REG  22992     r-xp     -rwxr-xr-x          /opt/datadog-agent/embedded/lib/python3.13/lib-dynload/fcntl.cpython-313-aarch64-linux-gnu.so                                                                         
mem REG  67440     r-xp     -rw-r--r--          /usr/lib/aarch64-linux-gnu/libutil.so.1                                                                                                                               
mem REG  5353016   r-xp     -rwxr-xr-x          /opt/datadog-agent/embedded/lib/libpython3.13.so.1.0                                                                                                                  
mem REG  99616     r-xp     -rw-r--r--          /opt/datadog-agent/embedded/lib/libdatadog-agent-three.so                                                                                                             
mem REG  262144    r--s     -rw-------          /opt/datadog-agent/run/remote-config.db                                                                                                                               
mem REG  133696    r-xp     -rw-r--r--          /usr/lib/aarch64-linux-gnu/libgcc_s.so.1                                                                                                                              
mem REG  591800    r-xp     -rw-r--r--          /usr/lib/aarch64-linux-gnu/libm.so.6                                                                                                                                  
mem REG  2633224   r-xp     -rw-r--r--          /usr/lib/aarch64-linux-gnu/libstdc++.so.6.0.33                                                                                                                        
mem REG  133296    r-xp     -rw-r--r--          /usr/lib/aarch64-linux-gnu/libseccomp.so.2.5.5                                                                                                                        
mem REG  1722920   r-xp     -rwxr-xr-x          /usr/lib/aarch64-linux-gnu/libc.so.6                                                                                                                                  
mem REG  35344     r-xp     -rw-r--r--          /opt/datadog-agent/embedded/lib/libdatadog-agent-rtloader.so.0.1.0                                                                                                    
mem REG  67440     r-xp     -rw-r--r--          /usr/lib/aarch64-linux-gnu/libdl.so.2                                                                                                                                 
mem REG  67720     r-xp     -rw-r--r--          /usr/lib/aarch64-linux-gnu/libresolv.so.2                                                                                                                             
mem REG  67440     r-xp     -rw-r--r--          /usr/lib/aarch64-linux-gnu/libpthread.so.0                                                                                                                            
mem REG  70456     r-xp     -rwxr-xr-x          /opt/lib/nosys.so                                                                                                                                                     
mem REG  203968    r-xp     -rwxr-xr-x          /usr/lib/aarch64-linux-gnu/ld-linux-aarch64.so.1                                                                                                                      
mem REG  203968    r--p     -rwxr-xr-x          /usr/lib/aarch64-linux-gnu/ld-linux-aarch64.so.1                                                                                                                      
